term,index,definition
qualified computer software,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179D_subsection-d,"means software— (i) for which the software designer has certified that the software meets all procedures and detailed methods for calculating energy and power consumption and costs as required by the Secretary, (ii) which provides such forms as required to be filed by the Secretary in connection with energy efficiency of property and the deduction allowed under this section, and (iii) which provides a notice form which documents the energy efficiency features of the building and its projected annual energy costs."
health savings account,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-223_subsection-d,"means a trust created or organized in the United States as a health savings account exclusively for the purpose of paying the qualified medical expenses of the account beneficiary, but only if the written governing instrument creating the trust meets the following requirements: (A) Except in the case of a rollover contribution described in subsection (f)(5) or section 220(f)(5), no contribution will be accepted— (i) unless it is in cash, or (ii) to the extent such contribution, when added to previous contributions to the trust for the calendar year, exceeds the sum of— (I) the dollar amount in effect under subsection (b)(2)(B), and (II) the dollar amount in effect under subsection (b)(3)(B)."
specified veterans beneficiary,title-26_subtitle-F_chapter-65_subchapter-B_section-6428A_subsection-f,"means any individual who, for the last month for which the Secretary has available information as of the date of enactment of this section, is entitled to a compensation or pension payment payable under— (I) section 1110, 1117, 1121, 1131, 1141, or 1151 of title 38, United States Code, (II) section 1310, 1312, 1313, 1315, 1316, or 1318 of title 38, United States Code, (III) section 1513, 1521, 1533, 1536, 1537, 1541, 1542, or 1562 of title 38, United States Code, or (IV) section 1805, 1815, or 1821 of title 38, United States Code, For purposes of this paragraph,"
specified veterans beneficiary,title-26_subtitle-F_chapter-65_subchapter-B_section-6428A_subsection-f,"shall not include any individual if such compensation or pension payment is not payable, or was reduced, for such month by reason of section 1505 or 5313 of title 38, United States Code."
qualified low-income community,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-b,"means any population census tract if— (I) the poverty rate for such tract is at least 20 percent, or (II) the median family income for such tract does not exceed 80 percent of statewide median family income (or, in the case of a tract located within a metropolitan area, metropolitan area median family income if greater)."
eligible contractor,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45L_subsection-b,"means— (A) the person who constructed the qualified new energy efficient home, or (B) in the case of a qualified new energy efficient home which is a manufactured home, the manufactured home producer of such home."
nonresidential real property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-e,"means section 1250 property which is not— (i) residential rental property, or (ii) property with a class life of less than 27."
nonresidential real property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,includes residential rental property.
original issue discount obligation,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-g,means any bond or other evidence of indebtedness having original issue discount (within the meaning of section 1273).
original issue discount obligation,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-g,shall not include— Any obligation payable 183 days or less from the date of original issue (without regard to the period held by the taxpayer).
qualified dwelling,title-26_subtitle-A_chapter-1_subchapter-A_part-VI_section-56_subsection-e,"means any— (A) house, (B) apartment, (C) condominium, or (D) mobile home not used on a transient basis (within the meaning of section 7701(a)(19)(C)(v)), (3) Special rule for indebtedness incurred before July 1, 1982"
eligible candidates,title-26_subtitle-H_chapter-95_section-9002,means the candidates of a political party for President and Vice President of the United States who have met all applicable conditions for eligibility to receive payments under this chapter set forth in section 9003.
utility,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-a,"means the owner or operator of an electrical transmission or distribution system which is subject to the regulatory authority of a State or political subdivision thereof, any agency or instrumentality of the United States, a public service or public utility commission or other similar body of any State or political subdivision thereof, or the governing or ratemaking body of an electric cooperative."
qualified health care property,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-e,"means any real property (including interests therein), and any personal property incident to such real property, which— (I) is a health care facility, or (II) is necessary or incidental to the use of a health care facility."
