index,name,type,definition
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-b,qualified services,concept,"means services consisting of— (i) engaging in qualified research, or (ii) engaging in the direct supervision or direct support of research activities which constitute qualified research."
title-26_subtitle-F_chapter-76_subchapter-B_section-7422_subsection-g,taxable event,concept,meanings given to such terms by section 4963.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-403_subsection-a,employee,entity,"meaning of section 401(c)(1), and the employer of such individual is the person treated as his employer under section 401(c)(4)."
title-26_subtitle-D_chapter-42_subchapter-A_section-4943_subsection-d,disqualified person,entity,does not include a plan described in section 4975(e)(7) with respect to the holdings of a private foundation described in paragraphs (4) and (5) of subsection (c).
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-953_subsection-a,insurance income,concept,"means any income which— (A) is attributable to the issuing (or reinsuring) of an insurance or annuity contract, and (B) would (subject to the modifications provided by subsection (b)) be taxed under subchapter L of this chapter if such income were the income of a domestic insurance company."
title-26_subtitle-A_chapter-1_subchapter-N_part-I_section-865_subsection-i,sale,concept,includes an exchange or any other disposition.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-409A_subsection-d,nonqualified deferred compensation plan,concept,"means any plan that provides for the deferral of compensation, other than— (A) a qualified employer plan, and (B) any bona fide vacation leave, sick leave, compensatory time, disability pay, or death benefit plan."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45S_subsection-a,applicable percentage,concept,means 12.
title-26_subtitle-A_chapter-1_subchapter-M_part-I_section-853A_subsection-e,applicable date,concept,"means— (i) in the case of a qualified tax credit bond or a bond described in subparagraph (A)(iii), any credit allowance date (as defined in section 54A(e)(1)),1 and (ii) in the case of a build America bond (as defined in section 54AA(d)),1 any interest payment date (as defined in section 54AA(e))."
title-26_subtitle-A_chapter-1_subchapter-M_part-I_section-851_subsection-c,controlled group,entity,"means one or more chains of corporations connected through stock ownership with the taxpayer if— (A) 20 percent or more of the total combined voting power of all classes of stock entitled to vote of each of the corporations (except the taxpayer) is owned directly by one or more of the other corporations, and (B) the taxpayer owns directly 20 percent or more of the total combined voting power of all classes of stock entitled to vote, of at least one of the other corporations."
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-83_subsection-i,employee,entity,shall not include any employee described in section 4980E(d)(4) or any excluded employee.
title-26_subtitle-A_chapter-1_subchapter-P_part-II_section-1212_subsection-c,net section 1256 contracts loss,concept,"means the lesser of— (A) the net capital loss for the taxable year determined by taking into account only gains and losses from section 1256 contracts, or (B) the sum of the amounts which, but for paragraph (6)(A), would be treated as capital losses in the succeeding taxable year under subparagraphs (A) and (B) of subsection (b)(1)."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,non-key employee,entity,means any employee who is not a key employee.
title-26_subtitle-D_chapter-43_section-4979_subsection-c,excess contributions,concept,"meaning given such term by sections 401(k)(8)(B), 408(k)(6)(C), and 501(c)(18)."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-957_subsection-c,united states person,entity,"meaning assigned to it by section 7701(a)(30) except that— (1) with respect to a corporation organized under the laws of the Commonwealth of Puerto Rico, such term does not include an individual who is a bona fide resident of Puerto Rico, if a dividend received by such individual during the taxable year from such corporation would, for purposes of section 933(1), be treated as income derived from sources within Puerto Rico, and (2) with respect to a corporation organized under the laws of Guam, American Samoa, or the Northern Mariana Islands— (A) 80 percent or more of the gross income of which for the 3-year period ending at the close of the taxable year (or for such part of such period as such corporation or any predecessor has been in existence) was derived from sources within such a possession or was effectively connected with the conduct of a trade or business in such a possession, and (B) 50 percent or more of the gross income of which for such period (or part) was derived from the active conduct of a trade or business within such a possession, For purposes of subparagraphs (A) and (B) of paragraph (2), the determination as to whether income was derived from the active conduct of a trade or business within a possession shall be made under regulations prescribed by the Secretary."
title-26_subtitle-F_chapter-61_subchapter-B_section-6109_subsection-a,return,entity,meanings given to such terms by section 6696(e).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-u,qualified military service,entity,"means any service in the uniformed services (as defined in chapter 43 of title 38, United States Code) by any individual if such individual is entitled to reemployment rights under such chapter with respect to such service."
